Case Type,Cousulting Ferm,Industry Coverage,text,title
business competition,Bain & Company,healthcare: hospital & medical | retail,"Case Interview Question #00533: Navarro Discount Pharmacies, Inc., frequently referred to as Navarro, is a small regional drugstore chain based in Medley, Florida, just outside of Miami, Florida, United States. The company mainly operates in Miami-Dade and Broward Counties and currently has 25 drug stores. Navarro Discount Pharmacies has about 20% market share in South Florida, making it the largest regional player in this market.
Recently, pharmacy chain CVS is entering the local market and the CEO of Navarro is concerned about the implications of this. In addition, the Navarro pharmacy chain is trying to expand but is being outbid for real estate by CVS in markets they are much more familiar with (CVS is paying 2x as much per square foot). The CEO of Navarro would like to know what CVS is doing that allows them to pay twice as much and what his pharmacy chain needs to do to compete with CVS. What would you advise him to do?
Instruction to the Interviewer:
The objective of this case is
Suggested Structure:
Question #1: What metrics would a drugstore use to measure itself?
",Competition Heats Up Between Navarro Pharmacies & CVS
reduce costs,Booz & Company,engineering & construction,"Case Interview Question #00532: The client Fluor Corporation (NYSE: FLR) is a large publicly owned engineering, procurement, construction, and maintenance (EPC / M) services organization. Based in the Las Colinas area of Irving, Texas, the company employs more than 41,000 international employees and maintains offices in  over 25 countries. Fluor is a Fortune 500 and a S&P 500 company.
The company’s main business is to build large refineries and large industrial plants. They are global in nature and operate in four main regions. This company is a recent roll-up of three smaller companies that operate independently. They have $1 billion in revenue for fiscal year 2008. Recently, however, Fluor has seen their market valuation drop sharply. You have been hired to find out the reasons behind Fluor’s declining market valuation. How would you go about it?
Instruction to the interviewer: 
The objective of this case is
The case should start with the candidate hypothesizing the reasons that could lead to declining market valuation. This is a simple test of idea generation. Ask the candidate to list a structure with which they will approach the problem. Check his/her structure to see if it seems reasonable and comprehensive.
Additional Information: to be provided to candidate if asked
Question #1: What would you think the main reasons for the client’s shrinking margins would be?
",Fluor Corporation to Eliminate 750 Engineer Positions
"new business | business expansion, growth",Deloitte Consulting (Strategy & Operations),retail,"Case Interview Question #00531: Lowe’s Companies, Inc. (NYSE: LOW) is an American chain of retail home improvement and appliance stores based in Mooresville, North Carolina, near Charlotte, North Carolina. As the second-largest home improvement retailer (behind The Home Depot) in the US, the company now serves more than 14 million customers a week in its 1,710 stores in the United States and 20 in Canada.
Recently, your client Lowe’s has just entered the installation services business for their home improvement products. Their staff would go to the customer’s location for an additional fee and install the products bought at their retail stores. Currently the company has annual revenues of about $10 billion and the company had previously grown through some key acquisitions. Revenues are expected to grow at 10% every year.
They want their home installation services to be 20% of their total revenues in 5 years from now. To expand they are considering three options – Internally build capabilities by hiring people, start Franchises, Acquire other installation companies. What should they do to expand? You don’t have any other data or information.
Suggested Approach:
This business expansion case tests a candidate for clock speed and intuition without major scope for data crunching. The following steps represent one of many possible ways to approach this case.
Possible Solution:
Step 1: How big the client’s installation business should be in 5 years?You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Lowe’s to Offer Installation Services for Home Improvement
investment,Schlumberger Business Consulting (SBC),"oil, gas & petroleum industry | retail","Case Interview Question #00530: Sunoco Inc. (NYSE: SUN) is an American petroleum and petrochemical manufacturer headquartered in Philadelphia, Pennsylvania, United States, formerly known as Sun Company Inc. (1886 – 1920 and 1976 – 1998) and Sun Oil Co. (1920 – 1976). Sunoco is one of the largest gasoline distribution companies in the United States, with Sunoco brand gasoline being sold in over 5,000 retail outlets including both Sunoco gas stations and convenience stores.
As one of the largest gasoline retailing companies in the world and a big player in the US market, Sunoco has invested significantly in brand building in the past to differentiate themselves from other competitors. A new Chief Marketing Office (CMO) has recently joined the company and wants to know if this brand building  campaign makes sense and if it is worth pursuing. You are his consultant and have only 4 weeks to present your findings. How would you go about this case?
Suggested Approach:
This type of marketing case is usually not easy to attack because no set of framework can be readily applied. The idea is to see if the candidate can quickly come up with a structure. The candidate may want to first explore ways in which results of a branding campaign can be measured. Some ways could be:
In this case, we will use the last approach as we are trying to measure the overall benefits. The investment in branding is You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Gasoline Retailer Sunoco Invests Heavily in Brand Building
new business | math problem,Siemens Management Consulting,restaurant & food service,"Case Interview Question #00529: Burger King is a global chain of hamburger fast food restaurants headquartered in unincorporated Miami-Dade County, Florida, United States. At the end of fiscal year 2011, Burger King reported that the chain had more than 12,400 restaurants in 73 countries, employing more than 34,000 people; of these, 66 percent are in the United States and 90 percent are privately owned and operated.
Recently, the CEO of Burger King is planning to introduce a new customer loyalty program called “Quick Rewards” for his chain. The program is modeled like the airline industry’s frequent flyer program: customers earn rewards for money spent at the restaurant chain. You have been hired as a consultant to advise him on this program. Specifically, he want to know if Burger King should go ahead with this initiative. What would  you recommend and why?
Suggested Approach:
Additional Information:
1. Program features: A customer will get 2 points for each dollar he/she spends at any Burger King restaurant. And when the customer reaches 200 points he will get some standard gifts. So for each 200 points they get one gift.
2. Benefits of the program: Data is on a per store per year basisYou need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Burger King Not To Introduce Customer Loyalty Program
improve profitability,McKinsey & Company,airlines,"Case Interview Question #00528: Air Arabia is a low-cost airline with its head office in the Sharjah Freight Center, Sharjah International Airport, in Sharjah, United Arab Emirates (UAE). The airline is the first and largest low cost airline in the Middle East. Air Arabia operates scheduled services to 46 destinations in the Middle East, North Africa, the Indian subcontinent, Central Asia and Europe from its base in Sharjah, 11 destinations in 10 countries from Casablanca, Morocco, and 5 destinations in 5 countries from Alexandria, Egypt.
Air Arabia is a small airline company with a fleet of just 27 aircrafts. The company’s performance is somewhat mediocre and the CEO of the company is looking for opportunities to improve the profits. The company doesn’t have extra funds or avenues for obtaining funds to buy more airplanes or make major investments in  the immediate future. How would you approach this situation?
Instructions to Interviewer:
This is a straight profitability case that has both qualitative and quantitative analysis. The candidate is expected to solve the case using the framework: Profits = Revenues – Costs = Price * Volume – Costs. Guide the candidate to start with ways to improve revenues first, then move on the costs side.
Question #1: How can the client Air Arabia increase revenues? Ask for at least 5 different approaches.
",Air Arabia Entering into Partnership with a Major Airline
pricing & valuation,Monitor Group,"automotive, motor vehicles","Case Interview Question #00527: Nissan Motor Company Ltd is a multinational automaker headquartered in Nishi-ku, Yokohama, Japan. As of 2011, Nissan is one of the largest car manufacturers in the world, and one of the “Big Three” in Japan, along with Honda and Toyota. The company has produced several car and SUV lines, including the Versa, Altima, Maxima, GT-R, Leaf, Murano, Rogue and Pathfinder, etc.
Recently, Nissan wants to launch a hybrid electric vehicle (HEV) in Australia, the Nissan Altima Hybrid sedan. Hybrid electric car combines a conventional internal combustion engine (ICE) propulsion system with an electric propulsion system. The presence of the electric powertrain is intended to achieve either better fuel economy than a conventional vehicle, or better performance. Nissan wants to know  how to price its Altima Hybrid mid-size sedan. Your consulting team has been hired to help them formulate a pricing strategy. How would you go about it?
Suggested Approach:
In general a product can be priced in 4 different ways:
Each pricing method has its own merits and de-merits. One has to use all the methods to triangulate and arrive at a price range. Later on, bundling with features, skimming and discrimination techniques can be used to realize healthy prices and profits.
Additional Information: to be provided when askedYou need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Nissan to Launch Altima Hybrid Sedan in Australia
improve profitability,Deloitte Consulting,apparel. clothing & textiles | sports,"Case Interview Question #00526: New Balance Athletic Shoe, Inc. (NBAS), best known as simply New Balance, is a privately held  American footwear manufacturer based in Boston, Massachusetts. Founded in the early 1906, the company has grown to be one of the largest makers of sports footwear in the world. Currently, it is the 3rd largest athletic shoe company in the United States in terms of market share, after Nike (NYSE: NKE) and Adidas.
Recently, the CEO of New Balance has hired your consulting firm to determine why its profits are declining while the profits of its two major competitors Nike and Adidas are growing. How would you go about analyzing the situation? What measures should New Balance take to restore profitability?
Possible Answer:
Scenario #1
Candidate: Oh, that’s an easy one. Its profits are declining because no one is buying athletic shoes anymore. Everyone is wearing those big, bulky, retro sneakers. Athletic shoes as you and I know them are out.You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",New Balance to Pump up Brand Image Among Young People
finance & economics | industry analysis,Analysis Group,energy industry,"Case Interview Question #00525: You are a consultant on a project to study the economics of the electricity market in the South American country of Argentina. The current population of Argentina is around 41 million. The electricity market in Argentina has three types of electricity plants: coal fired, oil fired and gas fired. The table below summarizes the economics of each type.
The market operates on a “Marginal Price” basis  – That is, the price of all units of electricity sold will be equal to the price of the last unit sold. For example, if the market demand equals 50 units then the price of all 50 units sold will be $175 per unit irrespective of it is coal fired, oil fired or gas fired. How would you analyze the electricity market in Argentina?
",How to Analyze Economics of Electricity Market in Argentina?
new business,Booz Allen Hamilton (BAH),"household goods, consumer products | business services","Case Interview Question #00524: The client Procter & Gamble (P&G, NYSE: PG) is a Fortune 500 American multinational corporation headquartered in downtown Cincinnati, Ohio and manufactures a wide range of household products, consumer package goods and personal care products. In fiscal year 2011, P&G recorded $82.6 billion dollars in sales.
Recently, Proctor & Gamble wants to enter the clothes washing and dry cleaning business in the United States. They want to set up a chain of retail shops that will offer clothes washing and dry cleaning services to consumers. They would want about $1 billion in annual revenues and 10% operating profits from this new business in 3 years. They have hired your consulting team to help them decide 1) whether they should go  ahead with the clothes washing and dry cleaning business; 2) whether their expected revenues and profit margin is feasible. How would you go about it?
Suggested Approach:
This “launching a new line of business” case is more about understanding how the candidate thinks about the problem. One way to look at it is to use Porter’s 5 forces structure but it is too common a framework that interviewers don’t like it very much. A simple but powerful way to look at is as follows:
",P&G To Not Enter Retail Laundry & Dry Cleaning Business
operations strategy | math problem,Schlumberger Business Consulting (SBC),"Oil, Gas & Petroleum Industry","Case Interview Question #00523: The Canadian Oil Sands Limited (TSX: COS) is a Canadian company headquartered in Calgary that generates income from its oil sands investment in the Syncrude Joint Venture. Syncrude operates an oil sands facility and produces crude oil through the mining of oil sands from ore deposits. As of January, 2007, the company holds a 36.74% interest in Syncrude, which is the largest stake of any of the joint owners.
Recently, the Canadian Oil Sands company are planning to build an oil production and refining facility in the Athabasca region of northern Alberta, Canada (Shaded regions in Figure 1 show an area where client wants to build the refinery). The estimated cost of building a facility is $5 billion and estimated time for completion is 5 years. The company is concerned about cost and time overrun to complete the project. For your information, 5 other competitors have already started building production and refining facility in the nearby areas. You have been hired as a consultant to assess the situation and make them aware of the potential issues. How would you go about the case?
Notes to the interviewer:
The objective of this case is
Suggested Structure:
You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Canadian Oil Sands Concerned about Cost & Time Overruns
new product | pricing & valuation,Deloitte Consulting,"transportation | automotive, motor vehicles","Case Interview Question #00522: The client Motor Coach Industries International Inc. (MCII) is a bus manufacturing company based in Schaumburg, Illinois, United States. The company is a leading participant in the North American coach bus industry and the current market leader in semi-luxury bus segment. Their customers are typically passenger transport companies who carry passengers over long distances.
Currently MCII has a luxury coach bus product called “Speed” in the market and is their best selling product line. They have another product being developed called “Velocity” that they plan to launch very soon. However, they are not sure if there will be acceptance for the new product from the customers. You are a consultant hired by the CEO of MCII, and your task is to help them understand how to convince the  customer to buy the new “Velocity” bus. How will you go about this case?
Notes to the Interviewer:
There are three main objectives to this “launching a new product” case:
1. The candidate has to consider those attributes that will be important to the customer – Guide the candidate to this
2. Try to understand the benefits of “Velocity” over “Speed” and do a bunch of math
3. Provide creative recommendation to avoid product cannibalization
Suggested Structure:
Given the objective of marketing this new product to the customers, the key elements here are:
",Motor Coach Industries to Debut New Luxury Coach Bus
increase sales/revenues,IMS Health Consulting Group,healthcare: hospital & medical,"Case Interview Question #00521: Your client Laboratory Corporation of America Holdings (NYSE: LH), more commonly known as LabCorp, is an S&P 500 company headquartered in Burlington, North Carolina, United States. The company operates one of the largest clinical laboratory networks in the world, with a United States network of 36 primary medical laboratories.
LabCorp’s clinical laboratories cater to patients who need MRI, CT scans and other major tests to be performed. The labs own several expensive testing equipments and the chain has currently about 200 such labs worldwide. Doctors usually refer the patients to these testing centers. Historically your client LabCorp were very profitable. Recently, however, the company has been worried about the profits and has hired you  to evaluate the situation. What would you do?
Notes to Interviewer:
There are no specific profit targets. The idea of this case is to see if the candidate can generate as many reasons for potential sales decline, cost increase and price reduction. This way you can test the candidate’s “Clock-Speed”. Then later make the candidate go through a bunch of Math to test his/her quantitative skills.
Suggested Structure:
As mentioned above the candidate should address the following points
Question #1: Why would the sales be flat or going down? The candidate should give at least 7 reasons. If they don’t reach this limit, keep asking “what else?”. Once they reach, move to the next point.
Question #2: Why may costs be going up? The candidate should give at least 7 reasons. If they don’t reach this limit, keep asking “what else?”. Once they reach, move to the next point.You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",LabCorp Concerned About Revenue Loss Due to Competitions
reduce costs | operations strategy,AlixPartners,"Freight Delivery, Shipping Services | Transportation","Case Interview Question #00520: Our client Madison Dearborn Partners (MDP) is a private equity firm specializing in leveraged buyouts of privately held or publicly traded companies, or divisions of larger companies; recapitalizations of family owned or closely held companies; balance sheet restructurings; acquisition financings; and growth capital investments in mature companies. The firm was founded in 1992 and is based in Chicago, Illinois, United States.
Madison Dearborn Partners has recently bought a metal processing company in Chicago. You have been hired as a consultant by MDP and they want you to re-design the supply chain system for the finished goods produced by this Chicago metal processing company. How will you proceed?
Additional Information:
The client MDP has three specific objectives.
1. They are concerned only about the outbound finished goods
2. Minimize Cost
3. Reliable product delivery
Suggested Structure:
For a supply chain design and optimization case like this one, the candidate should be willing to explore the following issues:You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",MDP to Re-design Supply Chain for Metal Processing Factory
"private equity, investment",KPMG Consulting,"hotel, hospitality, lodging","Case Interview Question #00519: Your client Lone Star Funds is a worldwide private equity firm based in Dallas, Texas, United States that specializes in purchasing and investing in distressed companies and assets, often well-known consumer brands that have seen better times or gone through financial difficulties due to leveraged buy-outs. Recently, the company has also been active in real estate related investment.
Currently, your client Lone Star Funds is assessing an opportunity to invest in a hotel coming up inside a U.S. Army Cantonment. In United States military parlance, a cantonment is an essentially permanent residential (i.e. barracks) section of a fort or other military installation such as Fort Hood located outside of Killeen, Texas. You have been hired to advise Lone Star Funds on this investment opportunity. What should the PE Fund do?
Possible Answer:
Candidate: Before I proceed with the analysis, I would like to know a few facts related to the type, the size and the location of the hotel. Also as our client happens to be a PE fund, is there any particular time frame that our client is targeting with respect to this investment?
Interviewer: Well, firstly as far as the time period is concerned, you may neglect any strict guidelines from the client. It is for us to decide the time frame in this case. Concerning the details of the hotel, it is planned to be a 400 room hotel located inside the army cantonment. The hotel standards will be comparable to any regular 3 or 4 star hotel.
Candidate: I see. Could you also let me know the location of the army cantonment and the intended objective of this hotel project? Moreover, would the hotel be open to non-army personnel as well?You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Lone Star Funds to Invest in a Hotel Inside Army Cantonment
new business,Parthenon Group,"automotive, motor vehicles | freight delivery, shipping services","Case Interview Question #00518: Your client is Tata Motors Limited (NYSE: TTM), a multinational automotive corporation headquartered in Mumbai, India. Currently Tata Motors is South Asia’s largest automobile company and the eighteenth largest motor vehicle manufacturing company in the world by volume. Part of Indian multinational conglomerate the Tata Group, Tata Motors was formerly known as TELCO (TATA Engineering and Locomotive Company). Its products include passenger cars, trucks, vans and coaches.
Recently, your client Tata Motors wants to set up a new courier company that delivers messages, packages, and mail. Couriers are distinguished from ordinary mail services by features such as speed, security, tracking, signature, specialization and individualization of express services, and swift delivery  times, which are optional for most everyday mail services. As a premium service, couriers are usually more expensive than usual mail services, and their use is typically restricted to packages where one or more of these features are considered important enough to warrant the cost.
How will you help your client to evaluate if the courier service is the right business for Tata Motors to get into?
Possible Answer:
Candidate: Very interesting case! Before I proceed with the analysis, I want to make sure I understand the business model correctly. I think at its simplest model, a courier company basically picks up a package from point A and delivers it to point B. The company adds value, differentiates itself and earns money from its supply chain. Am I right on this?You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Tata Motors to Set Up New Courier Company in Mumbai
improve profitability,Capital One,banking,"Case Interview Question #00517: Our client BB&T Corporation (Branch Banking & Trust, NYSE: BBT) is a large American bank offering commercial and retail banking services along with other financial services. Headquartered in Winston-Salem, North Carolina, United States, BB&T operates more than 1,850 financial centers in the state of  North Carolina, South Carolina, Virginia, Maryland, West Virginia, Kentucky, Tennessee, Georgia, Florida, Alabama, Indiana, Texas, and in Washington, D.C., with assets of USD $157 billion as of March 2011.
Currently, BB&T is in the process of rapid expansion. However, it is facing declining profits. The CEO of BB&T wants you to analyze the issue and advise what the bank should do to restore profitability. How would you go about analyzing the case?
Possible Answer:
Candidate: I would like to clarify a few things before I start analyzing the case.
Interviewer: Sure.
Candidate: Can I assume that the client BB&T bank is operating in the U.S. only where it is facing the aforesaid issues?
Interviewer: Yes, you can assume so.
Candidate: I follow that the bank is in the process of rapid expansion. Have the revenues of the bank also been decreasing?You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",BB&T Bank to Focus More on High Income Customers
"estimate, guesstimate | HR, organizational behavior",Hay Group,"software, information technology (IT) | computers","Case Interview Question #00516: Lenovo Group Limited is a multinational information technology company that develops, manufactures and markets desktop and notebook computers, workstations, servers, storage drives, IT management software, and other related products and services. The company’s principal operations are  located in Morrisville, North Carolina, United States, Beijing, China and Singapore. Currently, Lenovo is the world’s second largest PC maker following its 2005 acquisition of IBM’s personal computer business.
It is the year 2005. Your client Lenovo is in planning to set up BPO (Business process outsourcing) call centers in India and they need to know whether the talent supply in India is sufficient for the next five years, i.e. for the period 2005 – 2010. You have been brought in by Lenovo to figure out the pool of people available for hiring for such call centers. How would you go about the case?
Possible Answer:
Candidate: Since in this case the supply side is important, I would like to structure my discussion around the pool of people interested in joining the BPO call centers. Hence I would like to take the population approach and estimate the number of youngsters in the particular age group of 18 – 30 in the specific income groups.
Interviewer: That is a decent approach to take but could you think of any other approach that will give you a more accurate picture?You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",PC Maker Lenovo to Set Up More BPO Call Centers in India
"add capacity, growth",Siemens Management Consulting,industrial equipment | energy industry,"Case Interview Question #00515: The Viessmann Group is an international heating systems manufacturer headquartered in Allendorf (Eder), Germany. The company controls 23 production and project management divisions in 11 countries around the world. As of 2011 the company employs 9,600 people and reports annual sales of €1.86 billion. Viessmann Group provides an extensive range of HVAC (heating, ventilation, and air conditioning) products, including combined heat and power generation (CHP), heat pumps, sU.olar thermal systems, ventilation and air-conditioning equipment, etc.
You’ve been approached by the boiler division of Viessmann Group and they want you to help them devise a growth strategy. Their main goal is to increase sales and preferably profits too. How would you go about the case? What recommendations would you give to the boiler division?
Possible Answer:
Candidate: So the client is the boiler division of a large company and wants us to help develop a growth strategy to increase its sales and profits. Are there any other goals I should be aware of?
Interviewer: No, that would be all.
Candidate: Before we take a look at the company specific information, I would like to know more about the industry, such as You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Viessmann Group to Devise Growth Strategy for Boiler Business
"market entry, new market",Campbell Alliance,healthcare: hospital & medical,"Case Interview Question #00514: The client Quest Diagnostics Inc. (NYSE: DGX) is a medical diagnostic company headquartered in Madison, New Jersey, United States that provides clinical laboratory testing services. It operates a chain of labs in the U.S., United Kingdom, Mexico, Brazil, Puerto Rico and India and also has collaborative agreements internationally with various hospitals and clinics. As a member of the Fortune 500 and the S&P 500, the company has approximately 43,000 employees and over $7.5 billion dollars in annual revenue.
Recently, attracted by the enormous market potential, the CEO of Quest Diagnostics wishes to enter the Chinese market. What are the factors you would look into in order to advise them in their market entry into China?
Possible Answer:
Candidate: Before I start, I would like to know more about the kind of operations the client company undertakes. For instance, is it a general-purpose health laboratory or does it specialize in certain areas of health?You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Quest Diagnostics to Open Clinical Testing Labs in China
improve profitability | reduce costs,Roland Berger Strategy Consultants,building materials,"Case Interview Question #00513: HeidelbergCement (FWB: HEI) is a multinational building materials manufacturing company headquartered in Heidelberg, Germany. It is currently the world’s third largest cement producer, the market leader in aggregates and fourth in ready-mix concrete as of 2010. The company employs some 53,000 people at 2,500 locations in more than 40 countries with an annual turnover of approximately EUR €11 billion. In 2010 the company produced a combined 78 million tonnes of cement in all their locations worldwide.
Recently HeidelbergCement has started experiencing a decline in profit margins of cement products. They have hired you as a strategy consultant to determine the cause of their declining profitability and suggest remedial measures. How would you go about analyzing the case? What recommendations would you make to help HeidelbergCement improve their cement profitability?
Possible Answer:
Candidate: Since our profitability has declined, and we know that Profits = Revenues – Costs, I would like to analyze the situation from two angles, whether our costs have increased in a disproportionate manner or whether our revenues You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",HeidelbergCement to Optimize Cement Distribution Costs
increase market share,KPMG Advisory,banking,"Case Interview Question #00512: The client First Gulf Bank (FGB, ADX: FGB) is a large retail bank headquartered in Abu Dhabi, United Arab Emirates (UAE) in the Middle East. The bank provides financial services across the UAE, with a wide distribution network of branches in different business & industrial areas such as Abu Dhabi, Dubai, Sharjah, Ajman, and Al Ain. Within the UAE, it is also often known by its Arabic name Bank Al Khaleej Al Awal.
Even though banking and financial services industry has the fastest growing rate in the Middle East region, the client First Gulf Bank is losing market share. Its technology and service levels are just as good as any of its foreign competitors. The CEO of FGB wants to know why this is happening and what could be done to  reverse the trend of his bank’s declining market share. You have been hired as a consultant to advise him. What would you do? What recommendations would you give to the CEO of FGB?
Possible Answer:
Candidate: Firstly, I would like to know what is the metric to define market share – is it in terms of number of customers or You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",First Gulf Bank Reverses Trend of Declining Market Share
"market entry, new market | new product",Putnam Associates,"healthcare: pharmaceutical, biotech, life sciences","Case Interview Question #00511: Your client Pfizer, Inc. (NYSE: PFE) is a large multinational pharmaceutical corporation. Headquartered in Midtown Manhattan, New York City and with its research headquarters in Groton, Connecticut, United States, Pfizer produces a wide range of drugs. Global revenues in year 2010 are USD $67.8 billion.
Pfizer is in the business of making anti smoking drugs such as Chantix. Chantix (trade name Chantix in the USA and Champix in Canada, Europe and other countries, usually in the form of varenicline tartrate) is a prescription medication used to treat smoking addiction. It both reduces cravings for and decreases the pleasurable effects of cigarettes and other tobacco products. Through these mechanisms the drug can effectively assist some patients to quit smoking.
The client wants to sell Chantix at a premium price. You have been hired as a consultant to find out if the product can be introduced in a country like India – and if so, what is the expected target market, market share and a feasible price at which the drug should be sold. How would you go about it?
Possible Answer:
Candidate: Since this is a market entry and new product launch case, I would like to structure my discussion around the You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Pfizer to Introduce Anti-smoking Drug Chantix in India
improve profitability | increase market share,IBM Global Business Services (GBS),consumer electronics | household goods,"Case Interview Question #00510: Our client is Electrolux USA, the North American subsidiary of multinational home appliance manufacturer Electrolux (OMX: ELUX B, NASDAQ: ELUXF). With its global headquarter located in Stockholm, Sweden, Electrolux is the world’s second-largest home appliance maker by market share after Whirlpool (NYSE: WHR) as of 2010. Its products sell under a variety of brand names including its own Electrolux and are primarily major appliances such as refrigerators, freezers, microwave ovens, washing machines, driers, dishwashers, vacuum cleaners, air conditioners, etc. Forbes Magazine rates Electrolux as one of the top 5 companies in consumer durable goods worldwide. Total revenue is estimated 106.33 billion Swedish krona (SEK) for fiscal year 2010.
Historically Electrolux USA has enjoyed high profitability established by its market leader position. Over the past three years, however, Electrolux USA’s profit margins have fallen 20 percent. Its market share has also tumbled from 25% three years ago to 15% at present. You have been hired by the CEO of Electrolux USA to investigate the problem. How would you go about it? What is the source of the client’s problems? 
Possible Answer:
This is a classical example of the “declining profitability and market share” type of case question. The interviewer has done you the favor of defining the problem – your client Electrolux is in something of a slump! The dialogue below illustrates how you, the perspicacious candidate, might drill down into the core of the woes besetting the client.
Candidate: First of all, how would you characterize the current marketplace for these home appliance products? You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Electrolux to Address Falling Profitability & Market Share
organizational behavior | reduce costs,IMS Health Consulting Group,"healthcare: pharmaceutical, biotech, life sciences","Note: This business case is hypothetical.
Case Interview Question #00509: The client Merck & Co., Inc. (NYSE: MRK), also known as Merck Sharp & Dohme or MSD outside the United States and Canada, is one of the largest pharmaceutical companies in the world. With its global headquarter located in Whitehouse Station, New Jersey, United States, Merck is a research driven pharmaceutical company that discovers, develops, manufactures and markets a broad range of innovative products to improve human and animal health, directly and through its joint ventures.
Recently, to ensure the long-term success of its business model Merck has engaged us (IMS Health Consulting Group) to assist them in re-organizing their sales force, in an effort to address unprecedented market shifts, increasing  competition in key product areas and existing inefficiencies in its own organization. Their goal is to cut $500 million in costs from sales force over the next two years. How would you advise them on the project?
Possible Answer:
You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Drug Maker Merck & CO to Cut Costs in Sales Force
organizational behavior,KPMG Advisory,"business service | automotive, motor vehicles","Case Interview Question #00508: Hertz Global Holdings, Inc. (NYSE: HTZ) is an airport general use car rental company headquartered in Park Ridge, New Jersey, United States. As of December 2010, the Hertz company operates from approximately 8,500 locations in 146 countries, of which approximately one-fifth are airport locations and four-fifths were off-airport locations. In the car rental market, Hertz competes with Avis Budget Group, Inc., Enterprise Rent-A-Car Company and Dollar Thrifty Automotive Group, Inc.
Recently, you have been appointed the regional manager of Hertz’s Midwest Division. In this region, Hertz operates a peak rental fleet of more than 25,000 cars and employs approximately 1,500 people. As the new manager, how would you measure your division’s operating efficiency? What are the factors you should look at?
Possible Answer:
This case question is a good example for the “Value Chain” approach. Provided below is a list (incomplete!) of You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
",Hertz Car Rental to Measure Division Operating Efficiency
estimate or guesstimate,Monitor Group,"sports, leisure & recreation | transportation","Case Interview Question #00507: How many ping-pong balls can fit into a Boeing 747 passenger airplane? 
Possible Approach:
The best approach for an estimation or guesstimate case question is to think of a funnel. You begin by thinking broadly, then slowly drill down towards the answer. Let’s look at the approach in context. Referring to this particular case question, you know that you are looking for how many ping-pong balls fit in a 747 airplane. The first thing you need to determine is the volume of the ping-pong ball.
For any guesstimate/estimation case question you will need to understand whether your interviewer will be providing any direction or whether you will have to make assumptions. Therefore, begin your analysis of a guesstimate or estimation case question with a question to your interviewer, such as “What is the volume of a single ping pong ball?” If the interviewer does not know or refuses to provide any answer, then you will know that you must figure out the answer first. If the interviewer does provide the information, then your approach will be a series of questions. For this example, let’s assume your interviewer wants you to make the assumptions. Your verbal dialogue might go something like the following.
Possible Answer:You need to log in to access the rest of the page. Please Log in or Register now.Subscriptions start at only $7/month. Or, solve 6 sample cases for free!
Note: This estimation/guesstimate case question is essentially the same as the “How Many Tennis Balls Can Fit in a Boeing 747 Airplane?” case, but has a very different approach, so you may want to check out the answer to that case too.
",How Many Ping-pong Balls Can Fit into a Boeing 747?
